,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
175,175,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,821701.0,1692.0,944277,28.23,0.01553,3.711,20.003,15.994,19.993,1805985,3070880,4115610,9996531,18989006,1805985,3070880,9996531,4115610,0.82386476
177,177,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,809600.0,1694.0,405454,28.216,0.015,3.701,19.999,15.996,19.998,1800270,3075143,4115619,9999026,18990058,1800270,3075143,9999026,4115619,0.8234984
180,180,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,839410.0,2214.0,661168,27.984,0.0166,3.578,20.0,16.0,19.993,1733123,3277321,3983526,9996358,18990328,1733123,3277321,9996358,3983526,0.82284224
182,182,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,823710.0,2160.0,334162,27.95,0.0157,3.582,19.999,15.993,20.0,1735236,3276672,3986267,9999974,18998149,1735236,3276672,9999974,3986267,0.82257533
185,185,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,809257.0,2193.0,708789,27.954,0.01504,3.574,19.994,16.003,20.004,1731188,3269570,3990616,10001800,18993174,1731188,3269570,10001800,3990616,0.8225354
188,188,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,807463.0,2162.0,426664,27.944,0.01497,3.579,19.991,15.991,19.996,1733611,3283736,3978205,9997971,18993523,1733611,3283736,9997971,3978205,0.8225872
189,189,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,837688.0,2140.0,857312,27.927,0.01648,3.571,19.99,16.002,20.001,1729395,3282222,3980001,10000566,18992184,1729395,3282222,10000566,3980001,0.82218885
190,190,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,763274.0,1986.0,812438,27.984,0.01321,3.581,20.009,15.998,20.003,1734926,3277738,3987320,10001691,19001675,1734926,3277738,10001691,3987320,0.8230186
192,192,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,888111.0,2226.0,9729,27.953,0.02053,3.579,19.997,15.995,20.003,1733561,3278949,3984749,10001668,18998927,1733561,3278949,10001668,3984749,0.82254887
195,195,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,810244.0,2129.0,819751,27.938,0.01509,3.572,19.999,15.993,20.005,1730483,3280131,3982739,10002470,18995823,1730483,3280131,10002470,3982739,0.8222526
198,198,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,748976.0,1966.0,45948,27.916,0.01276,3.591,20.004,15.994,19.991,1740010,3284923,3976352,9995370,18996655,1740010,3284923,9995370,3976352,0.8220008
201,201,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,865736.0,2180.0,676648,27.94,0.01833,3.579,20.01,16.005,20.003,1733715,3273226,3993343,10001493,19001777,1733715,3273226,10001493,3993343,0.82269806
204,204,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,860661.0,2175.0,774532,27.915,0.01794,3.582,20.006,16.005,19.999,1735144,3284489,3982214,9999616,19001463,1735144,3284489,9999616,3982214,0.82188296
205,205,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,832448.0,2150.0,878119,27.957,0.01621,3.586,19.997,15.999,19.989,1736765,3277471,3983356,9994354,18991946,1736765,3277471,9994354,3983356,0.8225958
212,212,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,916175.0,5512.0,606257,39.997,0.02376,2.223,19.997,16.0,20.003,943630,2031594,4613601,10001561,17590386,943630,2031594,10001561,4613601,0.95650655
218,218,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,935291.0,5750.0,591896,40.011,0.02735,2.226,19.994,15.999,19.997,943881,2034349,4617630,9998346,17594206,943881,2034349,9998346,4617630,0.9566424
219,219,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,945626.0,5925.0,407971,40.064,0.02994,2.227,19.993,16.005,19.992,944733,2031621,4615223,9996213,17587790,944733,2031621,9996213,4615223,0.95730215
220,220,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,914399.0,5688.0,919830,40.03,0.02347,2.226,20.009,16.0,19.996,945122,2036559,4613482,9997833,17592996,945122,2036559,9997833,4613482,0.9569666
221,221,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,918486.0,5676.0,94345,40.025,0.02421,2.232,20.009,15.995,19.999,947394,2032996,4613768,9999456,17593614,947394,2032996,9999456,4613768,0.95678043
225,225,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,940991.0,5895.0,331785,40.021,0.0288,2.229,19.986,16.004,19.999,946059,2029286,4622840,9999609,17597794,946059,2029286,9999609,4622840,0.9567753
229,229,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,918724.0,5608.0,963492,40.046,0.02412,2.228,20.005,15.995,19.994,945974,2033934,4615923,9996781,17592612,945974,2033934,9996781,4615923,0.9570792
233,233,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,918602.0,5818.0,628608,40.066,0.0242,2.22,19.985,16.004,20.006,942221,2024444,4617430,10002966,17587061,942221,2024444,10002966,4617430,0.95743173
234,234,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,932407.0,5663.0,859493,40.035,0.02673,2.225,20.001,15.993,20.0,944499,2035308,4611447,10000101,17591355,944499,2035308,10000101,4611447,0.95679253
235,235,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,930718.0,5766.0,123000,40.071,0.02641,2.227,20.002,16.004,20.005,944822,2031042,4615104,10002411,17593379,944822,2031042,10002411,4615104,0.95753545
236,236,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,927915.0,5512.0,687280,40.044,0.02563,2.224,19.998,16.005,19.999,943495,2031799,4614851,9999403,17589548,943495,2031799,9999403,4614851,0.9571398
238,238,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,931486.0,5716.0,189785,40.034,0.02648,2.222,20.002,15.992,19.998,942945,2031569,4612924,9999008,17586446,942945,2031569,9999008,4612924,0.9571866
244,244,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,894592.0,872.0,400116,21.111,0.02737,3.635,20.004,15.998,20.0,1764459,4148150,2947979,9999831,18860419,1764459,4148150,9999831,2947979,0.7131617
245,245,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,901408.0,846.0,85269,21.155,0.02831,3.644,20.002,15.996,20.006,1768548,4143153,2954767,10002997,18869465,1768548,4143153,10002997,2954767,0.7138239
247,247,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,898220.0,823.0,221565,21.143,0.02791,3.636,20.008,15.995,20.005,1764740,4152419,2947703,10002279,18867141,1764740,4152419,10002279,2947703,0.71343535
253,253,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,896351.0,829.0,45839,21.112,0.0277,3.63,19.992,16.011,20.0,1762635,4148894,2948010,9999879,18859418,1762635,4148894,9999879,2948010,0.7130291
254,254,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,907172.0,809.0,649236,21.108,0.02951,3.641,19.987,15.996,19.995,1767786,4150269,2946678,9997742,18862475,1767786,4150269,9997742,2946678,0.7129516
258,258,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,899232.0,882.0,206744,21.117,0.02808,3.64,20.003,15.998,19.992,1766365,4149797,2944031,9996088,18856281,1766365,4149797,9996088,2944031,0.71302307
260,260,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,898893.0,844.0,280846,21.111,0.02807,3.633,20.003,16.006,19.994,1763201,4148446,2951150,9997131,18859928,1763201,4148446,9997131,2951150,0.71296674
