,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
3163,1535,5759.038465994719,0.056022568613941,0.9925368652305162,1.2020292448307533e-142,0.9328370554177008,6.354944582980906e-67
14163,1535,6076.593856353117,0.0583506095071796,0.9949898057561914,6.221022526305878e-156,0.9478908188585607,4.852320122148472e-69
10663,1535,4978.895528787272,0.0493606679819886,0.991955240157418,3.801649222637477e-140,0.9291976840363938,2.041263028485624e-66
163,1535,5826.020551796069,0.055990339672298,0.9940067329424224,5.876259702719575e-150,0.9407775020678246,4.9041437911960455e-68
663,1535,6164.353333172561,0.0600285961435674,0.9935167770384536,2.448491891435989e-147,0.9391232423490488,8.377544119538416e-68
11663,1535,5568.253980440932,0.0540899562334275,0.9941553002165288,8.553008496823698e-151,0.9419354838709678,3.3692542305385693e-68
9163,1535,6402.83898932841,0.0619951466939582,0.9948728485404056,3.6611164983189113e-155,0.9480562448304384,4.597236788658083e-69
6663,1535,5154.628368923303,0.0510347284710275,0.9890502757977588,6.949648119141863e-130,0.9151364764267992,1.7760327388219565e-64
14663,1535,5193.197681207737,0.050603214821654,0.995119406995306,8.309340515093238e-157,0.9467328370554178,7.079516266976654e-69
9663,1535,4944.188110712978,0.0484737473985511,0.9930647532044696,4.318912952071268e-145,0.9364764267990074,1.969502765030677e-67
13164,1544,5465.644446172425,0.0534569228112184,0.9946705441671538,7.151987302332567e-154,0.9449131513647644,1.2805612877770239e-68
11664,1544,5199.247560226868,0.0509956100838588,0.9943101895022995,1.0876524622440695e-151,0.9419354838709678,3.3692542305385693e-68
12664,1544,5264.2784066776285,0.0517278083674793,0.994098402111552,1.7995321207877265e-150,0.9421009098428452,3.1932108849311243e-68
2664,1544,5597.157714546201,0.0543803091045255,0.9919457571399216,4.1611463280884097e-140,0.9301902398676593,1.4855232250400222e-66
10164,1544,5674.613659314279,0.0553404761861986,0.9938771317033078,3.036773974556463e-149,0.9389578163771712,8.837912798484461e-68
5164,1544,6829.533193276599,0.0651713038709795,0.9947179592546348,3.60043467428067e-154,0.9447477253928868,1.3513743701717976e-68
5664,1544,5371.065082924902,0.0522579444557916,0.995122568001138,7.90592503827361e-157,0.9475599669148056,5.405581110702218e-69
3664,1544,5219.02472557061,0.050826311106328,0.9930837192394618,3.500321659925468e-145,0.9361455748552524,2.191232130961349e-67
2164,1544,5874.116663166536,0.0570681816369957,0.9933998198226676,9.657825810881873e-147,0.9373035566583954,1.5081896473431552e-67
14164,1544,5505.784509295894,0.0544760592059467,0.9946484171263296,9.831463491582606e-154,0.9455748552522748,1.0324248936867288e-68
14664,1544,5921.292976524691,0.0576969586121036,0.9942532913973224,2.3351047953610404e-151,0.942266335814723,3.026337458486975e-68
6664,1544,5508.573665858838,0.053333993296471,0.9914842502884416,2.9848514696554e-138,0.927874276261373,3.1167165559592694e-66
