,data_points,rmsd,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
6889,403,4402.858812647027,0.9916675886267008,5.624755340809256e-139,0.928701406120761,2.39251043721006e-66
14873,403,5681.149745616046,0.9955556258001296,6.247659520191421e-160,0.9478908188585607,4.852320122148196e-69
8386,403,4962.053762967335,0.9947622133362836,1.8867930406744652e-154,0.9460711331679074,8.783332924519427e-69
10382,403,6352.660424923456,0.990479050433848,1.5477187866682856e-134,0.9215880893300248,2.307734521759104e-65
12378,403,4700.326941665054,0.99354206508511,1.813929229570348e-147,0.9374689826302728,1.4297616004626431e-67
9883,403,7026.83608779511,0.9924894501430354,1.9539989548564562e-142,0.9326716294458228,6.701781168761666e-67
1899,403,4832.362876247125,0.9948570435112452,4.637474651180424e-155,0.9447477253928868,1.35137437017172e-68
3895,403,4731.808539799452,0.99501825480868,4.0169948461132396e-156,0.9478908188585607,4.852320122148196e-69
3396,403,3914.748188687154,0.9951763051002828,3.37561581440586e-157,0.949048800661704,3.3242681505831813e-69
2897,403,6188.722305816863,0.9934630399393086,4.6137676674647493e-147,0.9376344086021504,1.3553992353480521e-67
6390,403,5642.553535212209,0.9923092728106082,1.2043281118183877e-141,0.9313482216708024,1.0248768097804828e-66
11380,403,4975.036181753015,0.9919457571399216,4.1611463280884097e-140,0.9320099255583127,8.288262224315916e-67
2398,403,5469.118052138824,0.9950467038611686,2.5873202985697373e-156,0.9487179487179488,3.7037863166799815e-69
13376,403,4983.776502428939,0.9913514880434952,9.774067988287678e-138,0.9260545905707196,5.571795079795755e-66
13875,403,4535.264033089919,0.9939340298082848,1.4829771245264318e-149,0.939454094292804,7.527288263627986e-68
8885,403,5643.68678433796,0.9919868502157384,2.810817657200292e-140,0.9275434243176178,3.464226130944964e-66
14374,403,7471.330253184146,0.9951510170536264,5.0442157958177685e-157,0.9487179487179488,3.7037863166799815e-69
4394,403,6231.433994482432,0.9932006764552478,9.455574218538684e-146,0.9368072787427628,1.7701437562607762e-67
901,403,6475.798649187599,0.9944935278405588,8.79447474908331e-153,0.9421009098428452,3.193210884930943e-68
10881,403,3399.5488190840174,0.9908077950403816,1.0471498648842532e-135,0.9277088502894956,3.285895923354478e-66
4893,403,6964.958395285889,0.9905106604921686,1.1994990249787417e-134,0.9224152191894128,1.774658889174823e-65
1400,403,7525.532540952175,0.9914115471543044,5.728236453776608e-138,0.9255583126550868,6.527069702470214e-66
402,403,5257.498526087402,0.994452434764742,1.556572398949992e-152,0.9432588916459884,2.1926558632066465e-68
7388,403,5471.229894481245,0.9932607355660572,4.785997135774669e-146,0.9379652605459058,1.2180419685440325e-67
12877,403,5514.720612419373,0.9916486225917086,6.6961281162752e-139,0.9296939619520264,1.7414359458812873e-66
5891,403,5061.489391867583,0.994683188190482,5.959388416970853e-154,0.9447477253928868,1.35137437017172e-68
7887,403,5905.525985076115,0.9837524300232332,8.94827991139366e-117,0.8982630272952853,3.45255465997212e-62
1401,404,7187.410998504471,0.9899448404482304,1.0151195955914775e-132,0.9200992555831266,3.7004746241601203e-65
11880,404,6374.761916941671,0.9940825970823916,2.209728446950261e-150,0.941439205955335,3.957563833535721e-68
8387,404,5534.767456874532,0.9931975154494158,9.798942232678025e-146,0.9349875930521092,3.1821568210318536e-67
9884,404,5632.795058525538,0.993093202256958,3.150507312536985e-145,0.9392886683209264,7.941081787457988e-68
10383,404,6239.899091054599,0.9909247522561676,3.923825070089947e-136,0.9263854425144749,5.013712147593418e-66
14874,404,3677.2150724782464,0.995245847228588,1.1063000199554322e-157,0.9485525227460712,3.9094418728448565e-69
